Number of Nodes before deletion, Number of Nodes after deletion, BST Simple Deletion Depth, BST Random Deletion Depth, BST Optimized Deletion Depth, Theoretical Height
8,4,0.004,0.004,0.003,2.0
16,8,0.005,0.005,0.005,2.8284271247461903
32,16,0.008,0.008,0.008,4.0
64,32,0.009,0.009,0.008,5.656854249492381
128,64,0.011,0.011,0.011,8.0
256,128,0.016,0.016,0.015,11.313708498984761
512,256,0.017,0.016,0.016,16.0
1024,512,0.021,0.021,0.021,22.627416997969522
2048,1024,0.021,0.021,0.02,32.0
4096,2048,0.024,0.024,0.024,45.254833995939045
8192,4096,0.027,0.027,0.026,64.0
16384,8192,0.031,0.031,0.031,90.50966799187809
32768,16384,0.03,0.03,0.029,128.0
65536,32765,0.034,0.035,0.033,181.01104938649465
